tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,Unnamed: 12,fees_paid,trade_value,profit_loss,cumulative_profit_loss
2024-11-16 00:21:26,6737750654d62a0007d63100,PNUT-USDT,sell,1.9942,1.73,3.449966,0.003449966,taker,USDT,market,0,,0.003449966,3.4534159659999997,0.02989299999999989,-0.2051500000000011
2024-11-16 00:18:51,67377465fc90220007ed9a41,PNUT-USDT,buy,2.0552,1.73,3.555496,0.003555496,maker,USDT,limit,0,,0.003555496,3.5590514960000004,-0.10553000000000029,-0.3106800000000014
2024-11-16 00:18:42,67377462c95c310007065044,PNUT-USDT,sell,2.0607,1.67,3.441369,0.003441369,taker,USDT,market,0,,0.003441369,3.444810369,0.009515000000000105,-0.3011650000000013
2024-11-16 00:16:35,673773e3ab0f0a00079460e2,PNUT-USDT,buy,2.104,3.02,6.35408,0.00635408,taker,USDT,market,0,,0.00635408,6.36043408,-0.1307659999999997,-0.43193100000000095
2024-11-16 00:15:13,6737738e392ff70007b40db1,PNUT-USDT,sell,2.1266,3.02,6.422332,0.006422332,maker,USDT,limit,0,,0.006422332,6.428754332,0.06825199999999919,-0.36367900000000175
2024-11-16 00:15:10,6737738e98326e000795a439,PNUT-USDT,buy,2.1226,1.67,3.544742,0.003544742,taker,USDT,limit,0,,0.003544742,3.5482867419999997,0.006680000000000005,-0.35699900000000173
2024-11-16 00:15:10,6737738c355a36000764a6fb,PNUT-USDT,sell,2.1257,1.67,3.549919,0.003549919,maker,USDT,limit,0,,0.003549919,3.553468919,0.005177000000000542,-0.3518220000000012
2024-11-16 00:15:09,673772e92ab0100007a629d5,PNUT-USDT,buy,2.1171,2.98,6.308958,0.006308958,maker,USDT,limit,0,,0.006308958,6.315266958,0.025627999999999825,-0.32619400000000137
2024-11-16 00:15:07,673772e34bcca6000711e75b,PNUT-USDT,buy,2.1323,1.63,3.475649,0.003475649,maker,USDT,limit,0,,0.003475649,3.479124649,0.0,-0.32619400000000137
2024-11-16 00:12:24,673772e4c95c310007fb30b7,PNUT-USDT,sell,2.1604,2.98,6.437992,0.006437992,maker,USDT,limit,0,,0.006437992,6.444429992000001,0.04580300000000038,-0.280391000000001
